Date,Open,High,Low,Close,Volume,Market Cap
2020-04-06,36.97,47.3,28.68,40.18,87362,3509797.47
2020-04-07,46.77,57.6,43.62,45.9,36417,1671410.61
2020-04-08,42.32,65.23,33.66,46.5,28693,1334187.43
2020-04-09,43.92,56.91,36.35,42.31,89674,3793834.8
2020-04-10,13.38,25.92,9.21,14.5,63161,915806.1
2020-04-11,10.07,15.47,-4.78,6.59,12169,80152.87
2020-04-12,5.18,7.21,-13.74,0.23,94092,21862.61
2020-04-13,-10.37,-10.25,-27.19,-15.31,32052,-490818.42
2020-04-14,-16.45,-0.49,-29.08,-18.04,81849,-1476466.42
2020-04-15,-7.28,7.12,-20.57,-9.46,83851,-793053.44
2020-04-16,27.15,35.48,16.85,28.77,18036,518820.49
2020-04-17,36.15,44.45,20.52,32.76,41778,1368538.05
2020-04-18,42.36,48.97,30.38,38.41,37734,1449302.31
2020-04-19,29.58,53.34,24.15,37.42,33173,1241316.24
2020-04-20,1.44,11.46,-6.46,-0.46,40403,-18421.72
2020-04-21,6.35,9.4,-15.94,-0.49,76321,-37109.33
2020-04-22,-0.56,8.51,-12.69,1.22,81675,99510.96
2020-04-23,48.11,62.69,30.08,50.98,16344,833269.74
2020-04-24,45.54,55.9,35.07,47.64,28800,1371916.81
2020-04-25,46.64,65.27,39.62,54.17,35372,1915993.25
2020-04-26,54.6,63.59,51.78,53.97,71516,3859912.45
2020-04-27,31.25,39.24,16.39,31.1,30538,949705.87
2020-04-28,55.44,59.59,38.57,54.46,73918,4025249.57
2020-04-29,72.07,82.57,52.47,69.99,24973,1747966.85
2020-04-30,82.32,96.53,75.71,86.31,81155,7004886.26
2020-05-01,69.99,87.56,60.34,68.63,69500,4769587.46
2020-05-02,99.4,102.02,92.63,97.18,46575,4526300.27
2020-05-03,67.2,82.77,64.64,69.65,52261,3639770.79
2020-05-04,83.98,91.47,72.01,81.88,37716,3088305.43
2020-05-05,126.6,146.69,124.95,126.19,13236,1670280.98
2020-05-06,103.73,119.63,100.72,106.88,25848,2762674.32
2020-05-07,97.47,107.68,85.61,96.06,12352,1186478.72
2020-05-08,97.1,108.15,88.21,98.55,11932,1175882.17
2020-05-09,92.46,95.46,83.83,88.98,86449,7692155.1
2020-05-10,57.27,70.02,54.64,58.47,18556,1084892.16
2020-05-11,53.89,63.43,55.76,60.34,96836,5842803.52
2020-05-12,40.93,42.91,30.7,39.59,15498,613581.73
2020-05-13,50.71,64.63,28.91,49.56,86118,4268255.7
2020-05-14,26.27,32.86,16.37,31.67,60098,1903567.53
2020-05-15,66.93,71.58,52.1,63.17,74386,4699192.64
2020-05-16,51.5,52.76,35.24,48.01,19569,939468.81
2020-05-17,37.72,50.05,26.99,42.07,66882,2813510.56
2020-05-18,55.54,69.76,45.46,58.84,80393,4730093.15
2020-05-19,34.01,49.64,26.26,34.72,10340,359003.15
2020-05-20,35.97,55.86,34.0,39.77,53949,2145499.9
2020-05-21,69.61,71.82,57.04,66.41,92302,6129950.68
2020-05-22,35.51,42.43,19.74,34.76,72443,2518280.21
2020-05-23,33.49,69.22,30.31,38.95,84027,3273263.96
2020-05-24,40.54,53.4,40.18,44.65,10138,452687.68
2020-05-25,66.73,66.38,59.41,60.79,10358,629652.67
2020-05-26,44.23,42.97,27.16,36.55,85250,3115888.01
2020-05-27,13.33,19.42,5.77,10.64,95376,1014883.98
2020-05-28,20.52,29.62,13.76,21.58,40654,877301.33
2020-05-29,25.82,36.85,10.74,28.02,35879,1005308.0
2020-05-30,36.28,43.42,23.8,33.53,91532,3068999.82
2020-05-31,41.34,50.82,34.71,40.96,65778,2694149.78
2020-06-01,19.81,33.08,16.31,27.86,47772,1330819.25
2020-06-02,38.16,44.85,13.4,33.0,68478,2259965.69
2020-06-03,46.09,49.97,29.97,39.36,74353,2926849.98
2020-06-04,29.26,38.06,27.35,25.58,36762,940269.77
2020-06-05,57.93,64.82,50.14,63.39,23283,1475972.48
2020-06-06,70.19,84.15,61.64,73.37,73922,5423610.5
2020-06-07,40.75,50.12,39.59,50.04,49420,2473139.84
2020-06-08,71.65,72.8,54.77,63.67,65568,4175001.17
2020-06-09,42.9,57.97,38.72,44.68,95090,4248691.36
2020-06-10,72.59,76.15,43.35,60.92,30219,1841014.91
2020-06-11,94.37,96.27,83.79,84.59,67169,5682117.32
2020-06-12,64.16,82.06,60.23,68.68,84965,5835455.26
2020-06-13,84.91,96.95,80.11,88.45,56840,5027396.69
2020-06-14,99.53,104.66,82.94,97.2,54695,5316563.82
2020-06-15,105.37,137.61,97.97,114.15,94754,10815699.07
2020-06-16,150.39,166.72,143.71,152.58,87988,13425288.15
2020-06-17,145.48,152.31,137.21,148.17,68342,10126448.51
2020-06-18,142.85,134.93,122.21,133.6,28951,3867807.67
2020-06-19,117.11,123.98,101.04,116.31,11307,1315095.97
2020-06-20,99.07,116.45,85.33,100.49,90388,9083263.59
2020-06-21,96.29,109.69,92.14,99.45,45428,4517809.38
2020-06-22,111.24,105.65,94.58,106.77,85774,9158340.83
2020-06-23,110.32,121.92,100.89,112.81,48975,5524710.12
2020-06-24,129.6,139.84,120.43,129.85,11140,1446533.52
2020-06-25,127.41,128.53,118.74,130.61,34842,4550729.07
2020-06-26,152.59,170.3,150.08,160.18,36421,5833956.75
2020-06-27,150.41,160.32,144.6,155.39,11708,1819282.57
2020-06-28,207.78,211.11,207.07,210.29,13630,2866271.39
2020-06-29,221.99,241.33,217.89,223.3,29595,6608703.14
2020-06-30,205.56,211.37,192.57,206.66,86021,17777234.68
2020-07-01,185.3,192.41,181.8,185.74,38308,7115470.33
2020-07-02,193.45,202.49,183.54,195.89,54789,10732790.65
2020-07-03,198.67,201.94,182.33,191.92,65690,12607481.65
2020-07-04,211.44,225.54,191.55,206.7,36086,7459117.65
2020-07-05,215.99,220.69,203.42,216.67,26859,5819503.87
2020-07-06,216.98,224.18,207.98,215.71,17684,3814652.67
2020-07-07,197.42,209.88,190.39,199.28,11207,2233288.59
2020-07-08,155.26,175.14,169.41,169.48,56099,9507617.86
2020-07-09,161.15,169.43,151.7,161.05,77496,12480651.46
2020-07-10,180.21,191.65,175.03,178.68,76093,13596065.31
2020-07-11,175.4,189.68,174.55,183.46,39689,7281297.38
2020-07-12,161.54,167.35,152.23,159.04,58651,9328092.66
2020-07-13,161.6,170.85,157.39,163.01,23893,3894742.26
2020-07-14,172.9,180.69,155.28,171.21,76418,13083832.79
2020-07-15,152.78,165.25,150.42,154.04,70011,10784275.22
2020-07-16,163.87,170.54,152.43,157.61,48635,7665429.02
2020-07-17,160.41,178.96,152.77,159.28,66115,10530502.68
2020-07-18,141.93,133.62,129.32,136.92,88405,12104071.3
2020-07-19,150.0,153.73,138.96,144.57,82702,11956384.16
2020-07-20,150.69,159.47,148.08,156.29,88518,13834263.74
2020-07-21,174.75,186.52,166.94,178.45,82805,14776436.48
2020-07-22,202.28,214.43,186.68,200.02,68954,13792499.23
2020-07-23,171.14,188.96,159.86,172.97,38064,6583977.87
2020-07-24,153.52,170.94,154.26,154.71,89063,13779360.21
2020-07-25,171.95,181.69,153.61,165.52,12454,2061329.54
2020-07-26,174.74,185.42,164.08,176.29,30878,5443519.03
2020-07-27,182.25,204.08,180.4,187.09,61098,11430955.13
2020-07-28,260.48,282.63,246.31,264.65,72154,19095322.52
2020-07-29,287.48,287.26,261.13,276.56,22991,6358496.1
2020-07-30,298.88,315.66,290.69,299.78,78344,23485641.99
2020-07-31,312.53,329.56,312.34,319.36,46593,14879750.43
2020-08-01,324.04,349.93,314.63,332.88,46304,15413848.98
2020-08-02,323.96,336.27,317.17,327.08,40386,13209386.69
2020-08-03,341.78,349.71,332.33,342.76,65220,22354660.16
2020-08-04,332.55,332.2,317.44,327.8,79338,26007094.88
2020-08-05,327.83,332.7,302.05,323.56,31083,10057366.83
2020-08-06,314.33,324.78,305.44,314.36,28354,8913295.34
2020-08-07,314.22,321.77,306.61,316.5,32190,10187976.66
2020-08-08,364.99,372.04,357.44,363.29,16142,5864198.97
2020-08-09,317.7,333.81,318.39,326.44,38398,12534756.33
2020-08-10,350.57,345.28,335.83,340.67,61971,21111546.06
2020-08-11,312.18,324.09,302.97,308.91,51862,16020889.3
2020-08-12,304.31,316.03,299.02,299.98,63410,19021427.27
2020-08-13,316.88,337.41,307.85,322.25,29503,9507465.94
2020-08-14,330.45,333.62,313.26,324.04,58456,18942071.12
2020-08-15,300.68,312.87,291.79,302.98,92035,27885216.58
2020-08-16,284.42,293.86,279.44,289.18,18016,5209845.98
2020-08-17,303.07,315.34,292.91,303.27,12384,3755705.53
2020-08-18,288.85,300.01,271.07,289.16,72320,20912301.6
2020-08-19,288.6,318.21,287.84,293.99,25072,7370983.32
2020-08-20,290.93,310.84,284.01,295.4,90018,26591683.66
2020-08-21,278.01,294.45,271.51,282.87,50510,14287867.95
2020-08-22,321.43,336.04,310.54,326.25,58933,19226946.99
2020-08-23,337.49,354.44,327.24,339.43,31826,10802677.74
2020-08-24,292.48,304.85,286.98,299.43,78026,23363050.1
2020-08-25,300.2,319.35,299.95,303.66,35518,10785238.21
2020-08-26,296.15,295.48,284.96,290.92,34045,9904365.66
2020-08-27,312.59,315.66,304.3,308.47,60876,18778328.3
2020-08-28,287.87,293.93,295.5,293.12,61919,18149578.61
2020-08-29,296.11,304.39,279.34,291.32,37103,10808970.43
2020-08-30,292.09,313.17,293.23,301.92,46188,13945224.15
2020-08-31,331.88,326.93,307.74,319.74,15845,5066251.84
2020-09-01,302.73,301.59,286.05,296.23,96698,28645068.62
2020-09-02,287.24,306.94,278.84,290.04,46674,13537432.03
2020-09-03,282.96,290.38,264.35,281.04,29337,8244968.61
2020-09-04,261.47,274.64,258.44,268.48,32313,8675289.56
2020-09-05,304.59,323.9,290.94,304.29,36943,11241231.98
2020-09-06,311.97,319.6,304.4,312.89,87949,27517965.03
2020-09-07,283.99,303.86,274.04,288.17,10276,2961212.32
2020-09-08,304.68,311.27,303.22,307.03,61151,18774888.17
2020-09-09,347.13,358.19,349.16,349.97,27611,9662970.95
2020-09-10,365.46,383.63,350.58,371.12,21944,8143801.73
2020-09-11,336.94,350.94,322.05,341.23,62887,21458935.35
2020-09-12,324.84,343.26,331.77,332.05,91442,30362894.33
2020-09-13,362.17,365.19,348.06,357.88,59847,21418260.44
2020-09-14,339.57,346.24,333.48,344.23,68653,23632437.38
2020-09-15,347.5,370.93,339.99,353.61,96072,33971694.22
2020-09-16,373.81,377.21,350.9,369.6,66622,24623443.96
2020-09-17,353.41,363.01,346.87,351.56,37810,13292509.37
2020-09-18,354.89,364.38,345.91,350.87,87842,30821137.86
2020-09-19,291.13,298.09,276.55,286.54,20503,5875028.6
2020-09-20,276.24,273.01,261.37,266.56,94761,25259214.96
2020-09-21,261.23,277.8,265.58,262.01,46976,12307980.31
2020-09-22,230.26,250.12,228.69,237.55,21590,5128705.54
2020-09-23,272.05,281.69,256.41,270.7,20886,5653804.15
2020-09-24,239.25,253.47,232.7,242.6,22866,5547187.48
2020-09-25,229.51,252.71,221.17,234.29,76624,17952586.12
2020-09-26,237.91,243.76,225.0,237.41,78899,18731361.76
2020-09-27,271.06,278.81,261.87,266.73,42792,11414117.02
2020-09-28,234.34,245.87,228.18,238.52,19764,4714061.67
2020-09-29,268.65,262.6,259.91,262.28,96156,25219878.97
2020-09-30,258.04,263.17,255.55,262.99,52727,13866437.9
2020-10-01,242.64,248.78,233.6,243.86,88471,21574127.06
2020-10-02,255.53,260.31,243.6,253.6,18068,4581998.25
2020-10-03,256.14,278.94,254.53,258.08,17295,4463469.69
2020-10-04,237.69,260.07,242.02,246.57,51160,12614740.18
2020-10-05,253.11,262.41,237.02,248.47,21390,5314780.19
2020-10-06,238.15,248.08,227.13,241.26,30131,7269527.09
2020-10-07,247.76,254.34,235.07,244.03,85969,20979393.07
2020-10-08,251.46,279.31,249.06,257.78,25038,6454220.79
2020-10-09,284.53,293.93,275.34,290.0,62327,18074664.63
2020-10-10,270.05,278.02,259.6,265.74,87064,23136477.62
2020-10-11,310.6,326.96,290.27,308.9,31281,9662754.21
2020-10-12,268.17,285.19,267.09,270.36,64189,17354134.72
2020-10-13,269.6,286.83,252.58,267.82,58511,15670664.48
2020-10-14,275.32,291.15,267.39,280.09,18605,5211085.44
2020-10-15,286.76,299.23,264.16,286.21,11381,3257360.88
2020-10-16,274.9,284.81,269.86,274.26,76634,21017367.83
2020-10-17,268.73,283.26,272.26,270.59,29810,8066406.91
2020-10-18,257.06,266.66,244.99,261.23,34322,8966072.45
2020-10-19,250.3,263.91,247.3,249.95,51869,12964484.27
2020-10-20,267.16,278.91,254.36,267.44,42955,11487830.24
2020-10-21,272.75,285.39,259.17,275.08,71388,19637341.81
2020-10-22,256.55,280.45,249.82,261.72,20207,5288592.98
2020-10-23,280.28,288.89,269.05,280.21,97329,27272835.1
2020-10-24,284.54,302.9,274.85,286.86,77628,22268276.97
2020-10-25,298.44,320.15,289.43,303.62,38220,11604206.14
2020-10-26,316.93,330.99,303.77,316.71,94050,29786448.11
2020-10-27,308.67,305.8,296.71,300.63,84085,25278368.05
2020-10-28,288.09,301.72,270.8,289.93,32031,9286591.66
2020-10-29,312.86,325.16,295.12,305.37,80721,24649852.22
2020-10-30,328.65,318.99,305.49,318.08,90807,28883745.44
2020-10-31,313.39,327.22,304.61,318.16,81312,25870256.01
2020-11-01,321.05,336.82,305.23,321.01,69766,22395368.62
2020-11-02,357.58,356.48,331.8,347.06,22449,7791154.78
2020-11-03,335.12,349.78,325.07,335.73,99833,33516812.08
2020-11-04,347.35,364.22,336.83,347.17,66699,23155940.88
2020-11-05,335.28,354.79,331.58,343.63,91253,31356983.9
2020-11-06,337.11,352.32,324.27,339.77,56092,19058561.61
2020-11-07,365.03,372.71,357.81,362.25,73671,26687231.0
2020-11-08,391.4,390.75,366.04,379.26,20350,7717882.44
2020-11-09,395.05,416.54,390.46,396.03,78487,31082995.88
2020-11-10,414.32,432.32,403.38,422.64,27622,11674076.21
2020-11-11,416.53,431.79,411.72,423.56,80263,33995952.93
2020-11-12,437.52,452.9,429.78,437.7,63117,27626060.17
2020-11-13,437.88,437.78,419.85,431.99,68394,29545571.41
2020-11-14,442.16,445.9,428.93,438.97,33782,14829420.32
2020-11-15,439.17,443.83,427.67,436.87,38454,16799443.52
2020-11-16,445.86,448.03,438.36,439.31,77904,34224090.19
2020-11-17,448.11,460.65,446.84,451.71,25592,11560270.27
2020-11-18,435.95,449.35,426.55,435.85,32173,14022595.76
2020-11-19,475.6,486.49,476.64,478.2,43204,20660046.95
2020-11-20,457.22,472.27,451.51,458.58,45596,20909286.12
2020-11-21,429.76,449.11,427.29,434.79,44324,19271783.99
2020-11-22,456.74,465.19,452.35,458.46,71202,32642959.02
2020-11-23,474.65,489.0,460.93,474.79,99400,47194016.8
2020-11-24,485.91,502.44,482.17,487.77,40750,19876680.38
2020-11-25,500.03,502.03,490.4,500.84,86112,43128179.76
2020-11-26,503.12,512.56,492.86,501.09,26566,13312043.88
2020-11-27,489.84,491.12,474.24,483.65,17190,8313912.3
2020-11-28,492.22,502.18,467.63,485.66,98607,47889897.29
2020-11-29,476.43,480.04,461.72,472.62,48333,22843192.82
2020-11-30,486.32,495.93,480.76,492.62,90905,44781933.51
2020-12-01,488.38,500.03,484.01,490.18,99571,48807940.7
2020-12-02,472.8,479.69,461.04,474.17,11589,5495183.31
2020-12-03,464.96,482.49,455.32,468.24,35235,16498599.48
2020-12-04,478.72,482.96,464.57,477.0,10159,4845876.09
2020-12-05,458.26,476.14,462.27,466.23,22145,10324636.03
2020-12-06,458.75,468.01,443.21,450.28,90909,40934900.74
2020-12-07,461.63,471.15,438.49,455.66,41921,19101643.32
2020-12-08,463.45,473.45,454.5,461.06,26237,12096763.9
2020-12-09,451.11,460.78,433.57,451.42,18244,8235680.4
2020-12-10,448.64,454.41,435.23,442.5,24743,10948723.17
2020-12-11,451.09,461.08,436.9,447.64,56101,25112984.5
2020-12-12,424.71,424.24,410.11,419.18,94227,39497802.14
2020-12-13,391.23,405.78,385.75,391.53,66378,25988835.02
2020-12-14,386.61,382.15,371.81,377.66,81126,30637960.5
2020-12-15,379.72,386.75,367.41,373.89,66071,24703287.07
2020-12-16,383.16,385.07,369.87,380.61,81121,30875314.93
2020-12-17,416.9,430.43,396.16,410.62,84763,34804983.75
2020-12-18,426.17,442.09,417.85,428.27,22237,9523406.22
2020-12-19,419.73,427.79,415.74,425.57,25649,10915437.52
2020-12-20,427.3,435.68,409.64,425.69,47713,20310917.71
2020-12-21,405.85,413.53,395.93,406.14,83463,33897562.62
2020-12-22,405.28,413.07,398.98,406.27,55409,22510933.35
2020-12-23,407.08,411.73,395.98,401.0,58766,23564893.56
2020-12-24,408.79,413.31,391.6,407.95,56154,22908009.43
2020-12-25,393.22,405.71,383.55,391.91,17016,6668657.46
2020-12-26,401.16,416.32,395.68,402.79,89563,36075264.07
2020-12-27,438.35,445.7,427.27,433.95,58688,25467471.26
2020-12-28,435.78,442.17,416.2,432.27,99678,43087970.72
2020-12-29,445.17,454.1,433.67,440.81,64238,28316486.6
2020-12-30,452.62,469.07,440.16,455.11,68608,31224100.17
2020-12-31,454.1,459.86,438.74,447.58,99081,44347102.67
2021-01-01,461.76,456.01,448.61,452.57,41897,18961165.09
2021-01-02,457.53,459.38,444.98,453.32,60961,27634720.08
2021-01-03,451.73,464.43,445.94,455.77,78703,35870588.01
2021-01-04,436.8,443.43,431.39,440.81,54757,24137507.13
2021-01-05,439.92,452.92,432.5,441.8,36917,16309987.97
2021-01-06,449.44,469.32,443.87,452.26,32736,14805233.12
2021-01-07,481.43,498.04,475.71,481.78,37990,18302989.06
2021-01-08,504.63,515.17,491.42,501.47,72551,36382136.09
2021-01-09,546.48,558.67,532.33,545.03,68161,37150025.52
2021-01-10,531.2,551.26,527.5,530.19,89623,47516905.28
2021-01-11,546.93,562.35,531.64,548.13,32440,17781431.9
2021-01-12,551.93,566.93,560.78,552.3,45205,24966710.62
2021-01-13,600.58,599.4,586.22,596.6,90811,54177462.83
2021-01-14,570.87,597.59,568.6,580.93,65103,37820276.18
2021-01-15,564.58,576.63,557.65,564.64,80812,45629317.2
2021-01-16,554.59,562.75,553.78,553.15,51627,28557349.21
2021-01-17,515.09,519.53,501.65,511.17,29008,14828009.15
2021-01-18,496.1,508.41,490.31,501.15,81274,40730834.71
2021-01-19,481.16,502.76,482.22,486.47,42402,20627381.27
2021-01-20,492.9,499.84,484.13,489.98,63384,31056877.75
2021-01-21,487.79,504.76,482.5,497.31,15793,7854094.05
2021-01-22,542.0,541.48,524.75,535.34,15571,8335752.77
2021-01-23,555.98,565.7,552.39,554.85,26209,14541979.34
2021-01-24,551.6,552.01,531.56,543.81,53148,28902345.33
2021-01-25,520.91,533.4,520.99,526.34,12224,6433985.25
2021-01-26,534.5,539.77,530.55,536.68,58695,31500362.17
2021-01-27,498.73,525.57,499.79,510.77,42441,21677765.11
2021-01-28,543.92,557.21,537.38,547.9,49129,26917941.78
2021-01-29,571.07,576.57,564.01,571.99,72368,41393925.29
2021-01-30,553.3,571.75,555.63,563.11,54760,30835826.97
2021-01-31,527.37,542.09,520.6,529.35,33478,17721442.38
2021-02-01,546.99,567.07,550.83,556.92,81854,45586404.51
2021-02-02,553.85,566.09,539.69,555.13,95716,53135068.18
2021-02-03,586.12,590.6,578.23,580.39,22180,12873025.51
2021-02-04,548.83,552.62,540.2,549.0,25372,13929236.47
2021-02-05,545.8,552.26,534.81,537.51,39796,21390860.71
2021-02-06,542.05,539.58,523.44,538.12,68272,36738372.11
2021-02-07,546.3,551.87,530.77,539.56,99963,53935768.29
2021-02-08,527.23,544.13,526.34,531.06,64040,34008826.86
2021-02-09,540.07,552.91,530.59,544.01,85357,46435318.35
2021-02-10,524.89,534.93,524.62,523.16,81368,42568531.68
2021-02-11,512.92,529.43,509.41,520.81,88356,46016954.32
2021-02-12,526.07,535.55,507.96,523.72,26211,13727196.68
2021-02-13,532.89,549.47,523.61,534.51,15842,8467670.97
2021-02-14,555.89,555.28,541.77,549.24,73115,40157682.38
2021-02-15,530.64,540.62,523.46,527.25,76852,40519998.36
2021-02-16,502.55,515.53,481.65,497.06,55968,27819726.74
2021-02-17,519.35,534.44,508.48,523.12,27508,14389941.17
2021-02-18,535.51,537.75,523.49,530.26,32005,16971121.35
2021-02-19,523.02,537.11,508.89,515.79,64575,33307459.39
2021-02-20,547.12,557.76,531.38,547.32,90742,49664729.7
2021-02-21,546.43,561.29,537.47,550.13,28971,15937859.39
2021-02-22,570.61,585.48,573.15,574.22,35599,20441566.42
2021-02-23,582.26,588.31,567.05,576.07,97592,56219609.04
2021-02-24,631.2,626.09,608.95,617.78,76914,47516143.33
2021-02-25,648.48,664.34,642.15,653.39,77055,50346933.97
2021-02-26,643.62,663.67,638.88,648.91,97697,63396589.14
2021-02-27,673.45,676.97,661.41,668.84,15355,10270064.53
2021-02-28,678.48,690.15,671.36,682.25,64120,43745820.85
2021-03-01,715.21,718.66,702.36,710.12,84619,60089802.07
2021-03-02,693.65,695.83,664.25,691.32,48342,33419955.58
2021-03-03,705.42,712.13,694.93,705.54,95992,67726620.41
2021-03-04,729.42,733.6,717.29,727.21,88860,64620139.57
2021-03-05,694.44,702.54,673.32,692.54,12257,8488439.79
2021-03-06,668.47,683.55,666.19,669.37,37364,25010451.07
2021-03-07,620.31,646.36,619.64,629.09,34972,22000476.41
2021-03-08,625.09,634.49,618.95,624.2,36654,22879433.18
2021-03-09,646.92,651.33,625.88,639.05,90769,58006021.97
2021-03-10,661.55,680.82,662.07,669.6,91423,61216672.61
