date,open,high,low,close,volume,market_cap,daily_return,log_return,volatility
2020-02-08,45.06,51.68,31.07,40.65,46788,1901932.2,-0.3907374100719424,-0.49550592205667165,0.6534798199244519
2020-02-09,42.95,59.09,25.35,45.09,85749,3866422.41,0.10922509225092258,0.10366165643917329,0.69052135834302
2020-02-10,56.26,83.28,51.59,60.36,71049,4288517.64,0.3386560212907517,0.2916661414666552,0.8165044416665386
2020-02-11,64.38,80.53,50.23,64.29,72493,4660574.970000001,0.0651093439363819,0.06307746425394738,0.7932288769221991
2020-02-12,63.62,73.57,41.02,62.47,46027,2875306.69,-0.028309223829522612,-0.028717656648116943,0.782453084627743
2020-02-13,50.01,65.4,56.2,56.95,52849,3009750.5500000003,-0.08836241395870015,-0.09251275161228736,0.7711523552983263
2020-02-14,26.8,36.88,19.28,27.88,27858,776681.0399999999,-0.5104477611940299,-0.7142641040008681,0.9392116965094498
2020-02-15,11.5,17.7,3.98,13.98,94162,1316384.76,-0.49856527977044474,-0.6902818490866589,1.0433594237645223
2020-02-16,2.07,18.59,4.27,5.27,89003,469045.80999999994,-0.6230329041487841,-0.9755973742523935,1.2682116644611074
2020-02-17,21.83,31.84,19.19,26.91,62395,1679049.45,4.106261859582543,1.6304676021855435,2.2956149124265504
2020-02-18,38.99,42.42,29.14,34.29,49758,1706201.82,0.274247491638796,0.24235580173601456,2.3187605012579606
2020-02-19,-3.7,12.88,-14.76,-0.47,64312,-30226.64,-1.0137066200058327,,
2020-02-20,-3.47,15.32,5.17,6.51,78670,512141.7,-14.851063829787234,,
2020-02-21,0.63,6.84,-20.14,-0.69,92279,-63672.509999999995,-1.1059907834101383,,
2020-02-22,-10.11,-9.72,-27.18,-13.73,25434,-349208.82,18.898550724637683,2.9906469011707117,
2020-02-23,-4.98,15.03,-5.73,-1.0,74047,-74047.0,-0.9271667880553532,-2.6195832197798796,
2020-02-24,17.32,25.96,4.99,20.12,57775,1162433.0,-21.12,,
2020-02-25,36.0,46.32,26.26,39.25,85769,3366433.25,0.9507952286282306,0.668237098996879,
2020-02-26,21.23,24.0,13.16,22.96,76677,1760503.9200000002,-0.41503184713375796,-0.5361978727770518,
2020-02-27,22.81,27.18,10.89,17.28,93555,1616630.4000000001,-0.2473867595818815,-0.2842038080754561,
2020-02-28,23.83,32.74,11.67,24.4,95920,2340448.0,0.41203703703703676,0.34503336892324643,
2020-02-29,48.61,55.32,33.8,44.41,55734,2475146.94,0.8200819672131148,0.5988815370048547,
2020-03-01,30.49,39.46,28.78,35.33,98503,3480110.9899999998,-0.20445845530285967,-0.22873220793295698,
2020-03-02,30.2,45.79,28.83,32.12,50603,1625368.3599999999,-0.09085762807812059,-0.09525357229249294,1.2422179979798154
2020-03-03,15.26,11.29,4.74,10.49,86708,909566.92,-0.673412204234122,-1.119056466670355,1.4931234622948029
2020-03-04,-16.96,-3.39,-20.42,-12.93,91926,-1188603.18,-2.2326024785510006,,
2020-03-05,8.88,14.39,-12.0,3.82,78803,301027.45999999996,-1.2954369682907965,,
2020-03-06,28.3,41.73,17.14,31.44,49332,1550998.08,7.230366492146597,2.107830544942522,
2020-03-07,28.89,41.29,22.75,30.5,31312,955016.0,-0.0298982188295166,-0.030354283947639917,
2020-03-08,59.42,65.02,43.13,51.07,94526,4827442.82,0.6744262295081966,0.5154705570461866,
2020-03-09,56.63,75.43,43.85,58.81,54179,3186266.99,0.15155668690033286,0.14111466781231205,
2020-03-10,47.13,55.62,35.07,46.4,81442,3778908.8,-0.21101853426288053,-0.23701244923965512,
2020-03-11,57.21,59.29,42.86,54.13,50379,2727015.27,0.16659482758620703,0.15408910157667705,
2020-03-12,86.52,98.2,78.91,85.39,27297,2330890.83,0.5774986144467023,0.45584043711062816,2.0602227129362953
2020-03-13,86.45,93.77,75.79,85.18,12011,1023096.9800000001,-0.0024593043681929716,-0.002462333424447327,0.7102152782256288
2020-03-14,116.69,133.29,106.95,116.97,54014,6318017.58,0.37320967363230784,0.31715082716754806,0.6964924922918034
2020-03-15,58.56,72.06,55.53,65.07,21738,1414491.66,-0.4437035137214671,-0.586453878155723,0.9315126118399443
2020-03-16,83.75,87.72,68.34,82.01,57498,4715410.98,0.2603350238205011,0.23137757754142724,0.9477840282437029
2020-03-17,80.59,94.97,70.43,84.25,21120,1779360.0,0.02731374222655769,0.026947378184151223,0.8903559841677566
2020-03-18,82.65,80.07,73.37,78.77,18767,1478276.5899999999,-0.06504451038575676,-0.06725635551723824,0.897861248766782
2020-03-19,87.97,88.77,73.61,81.11,32852,2664625.72,0.029706741145105964,0.02927404436702036,0.7666466649576988
2020-03-20,32.83,50.21,35.29,41.86,89239,3735544.54,-0.48391073850326716,-0.6614755410643997,1.0072416554161607
2020-03-21,44.83,49.06,21.02,37.96,10929,414864.84,-0.09316770186335399,-0.0977977432761265,0.883959057936004
2020-03-22,43.55,50.62,24.34,45.6,87487,3989407.2,0.2012644889357218,0.18337474277861326,0.780625713720881
2020-03-23,75.01,81.26,67.98,75.66,27438,2075959.0799999998,0.6592105263157892,0.5063419026845427,0.9306010420815833
2020-03-24,61.24,81.58,56.63,65.8,58515,3850287.0,-0.1303198519693365,-0.13962978087361166,0.9374526315737727
2020-03-25,51.07,60.06,35.92,50.13,15744,789246.7200000001,-0.23814589665653485,-0.27200020705585937,0.9674706614847309
2020-03-26,40.93,54.92,34.13,40.59,93820,3808153.8000000003,-0.1903052064631957,-0.2110979004246057,0.9701289843586177
2020-03-27,64.78,66.69,45.08,59.4,52417,3113569.8,0.4634146341463412,0.3807724955177927,0.8119677230795495
2020-03-28,62.77,76.2,56.58,66.48,17069,1134747.12,0.1191919191919193,0.1126069241785936,0.7943574877136194
2020-03-29,64.68,67.45,55.1,56.38,52359,2952000.42,-0.1519253910950662,-0.16478666486122628,0.8174862007811377
2020-03-30,70.47,85.88,63.65,67.15,29799,2001002.85,0.19102518623625397,0.17481443728328008,0.6402788677097785
2020-03-31,70.04,78.5,61.28,69.59,80188,5580282.92,0.03633655994043172,0.035691955887511964,0.6249380719562484
2020-04-01,88.56,98.63,73.34,89.46,99859,8933386.139999999,0.2855295301048999,0.2511707191479432,0.5678467860860114
2020-04-02,74.39,91.41,70.38,75.92,17597,1335964.24,-0.1513525598032639,-0.16411144370302946,0.5407798885760862
2020-04-03,68.66,77.97,62.54,69.87,57093,3989087.91,-0.07968914646996839,-0.08304378173731311,0.4385082212368662
2020-04-04,63.37,73.95,51.47,62.52,47226,2952569.52,-0.10519536281665953,-0.11114986701108348,0.44234936971262984
2020-04-05,32.71,48.81,32.1,33.75,82127,2771786.25,-0.4601727447216891,-0.6165060882347372,0.751107932680369
2020-04-06,36.97,47.3,28.68,40.18,87362,3510205.16,0.19051851851851853,0.17438894206824954,0.7509440520011753
2020-04-07,46.77,57.6,43.62,45.9,36417,1671540.3,0.14235938277750115,0.13309575767971105,0.7734278222812455
2020-04-08,42.32,65.23,33.66,46.5,28693,1334224.5,0.013071895424836555,0.012987195526811112,0.6944713642936495
2020-04-09,43.92,56.91,36.35,42.31,89674,3794106.9400000004,-0.09010752688172041,-0.0944288478613345,0.6896821732020574
2020-04-10,13.38,25.92,9.21,14.5,63161,915834.5,-0.6572914204679745,-1.0708748153054475,1.2043124600110613
2020-04-11,10.07,15.47,-4.78,6.59,12169,80193.70999999999,-0.5455172413793103,-0.7885953009121128,1.3152583539677862
2020-04-12,5.18,7.21,-13.74,0.23,94092,21641.16,-0.9650986342943855,-3.3552293185733575,3.3340996298250998
2020-04-13,-10.37,-10.25,-27.19,-15.31,32052,-490716.12,-67.56521739130434,,
2020-04-14,-16.45,-0.49,-29.08,-18.04,81849,-1476555.96,0.17831482691051592,0.16408530496488513,
2020-04-15,-7.28,7.12,-20.57,-9.46,83851,-793230.4600000001,-0.47560975609756095,-0.6455191315706906,
2020-04-16,27.15,35.48,16.85,28.77,18036,518895.72,-4.041226215644819,,
2020-04-17,36.15,44.45,20.52,32.76,41778,1368647.28,0.13868613138686126,0.12987508142141208,
2020-04-18,42.36,48.97,30.38,38.41,37734,1449362.94,0.17246642246642252,0.1591095833729448,
2020-04-19,29.58,53.34,24.15,37.42,33173,1241333.6600000001,-0.025774537880760118,-0.02611252151186977,
2020-04-20,1.44,11.46,-6.46,-0.46,40403,-18585.38,-1.0122928915018707,,
2020-04-21,6.35,9.4,-15.94,-0.49,76321,-37397.29,0.06521739130434767,0.06317890162153146,
2020-04-22,-0.56,8.51,-12.69,1.22,81675,99643.5,-3.489795918367347,,
2020-04-23,48.11,62.69,30.08,50.98,16344,833217.12,40.78688524590164,3.732582540202804,
2020-04-24,45.54,55.9,35.07,47.64,28800,1372032.0,-0.06551588858375823,-0.06776065446086992,
2020-04-25,46.64,65.27,39.62,54.17,35372,1916101.24,0.13706968933669184,0.12845450518270812,
2020-04-26,54.6,63.59,51.78,53.97,71516,3859718.52,-0.0036920804873546986,-0.0036989130392561477,
2020-04-27,31.25,39.24,16.39,31.1,30538,949731.8,-0.42375393737261435,-0.5512205174453628,
2020-04-28,55.44,59.59,38.57,54.46,73918,4025574.2800000003,0.7511254019292604,0.560258668060425,
2020-04-29,72.07,82.57,52.47,69.99,24973,1747860.2699999998,0.28516342269555617,0.2508858874558346,3.7868022477837564
2020-04-30,82.32,96.53,75.71,86.31,81155,7004488.05,0.23317616802400365,0.20959309153011813,0.9076318146500799
2020-05-01,69.99,87.56,60.34,68.63,69500,4769785.0,-0.2048430077627159,-0.22921570931102309,0.950645372555957
2020-05-02,99.4,102.02,92.63,97.18,46575,4526158.5,0.41599883432901086,0.3478351720572138,0.9954463150293154
2020-05-03,67.2,82.77,64.64,69.65,52261,3639978.6500000004,-0.2832887425396172,-0.33308222875194227,1.0800081398850163
2020-05-04,83.98,91.47,72.01,81.88,37716,3088186.0799999996,0.17559224694903075,0.16177206056727397,0.8349377547290647
2020-05-05,126.6,146.69,124.95,126.19,13236,1670250.84,0.5411577918905717,0.4325339468717305,0.7666018798432671
2020-05-06,103.73,119.63,100.72,106.88,25848,2762634.2399999998,-0.15302321895554327,-0.1660819978764837,0.7963939252057559
2020-05-07,97.47,107.68,85.61,96.06,12352,1186533.12,-0.10123502994011968,-0.10673371355165719,0.7900921314025424
2020-05-08,97.1,108.15,88.21,98.55,11932,1175898.5999999999,0.02592129918800734,0.02559103736205074,0.7374290614033346
2020-05-09,92.46,95.46,83.83,88.98,86449,7692232.0200000005,-0.09710806697108065,-0.10215240822083346,0.6598084842782769
2020-05-10,57.27,70.02,54.64,58.47,18556,1084969.32,-0.34288604180714777,-0.4198978231903167,0.7126047502970675
2020-05-11,53.89,63.43,55.76,60.34,96836,5843084.24,0.03198221310073546,0.031481431543335936,0.6841064834216258
2020-05-12,40.93,42.91,30.7,39.59,15498,613565.8200000001,-0.3438846536294332,-0.4214186726128758,0.4984939382998512
2020-05-13,50.71,64.63,28.91,49.56,86118,4268008.08,0.25183127052285936,0.2246074956429025,0.6330060625272913
2020-05-14,26.27,32.86,16.37,31.67,60098,1903303.6600000001,-0.36097659402744153,-0.44781419621039337,0.7173569871064702
2020-05-15,66.93,71.58,52.1,63.17,74386,4698963.62,0.9946321439848436,0.6904596443600606,1.1145697177607579
2020-05-16,51.5,52.76,35.24,48.01,19569,939507.69,-0.2399873357606459,-0.27442018236776006,1.1346651596908475
2020-05-17,37.72,50.05,26.99,42.07,66882,2813725.74,-0.12372422411997497,-0.13207442494041943,1.0712165623564829
2020-05-18,55.54,69.76,45.46,58.84,80393,4730324.12,0.3986213453767531,0.3354869981308073,1.1382499515161126
2020-05-19,34.01,49.64,26.26,34.72,10340,359004.8,-0.4099252209381373,-0.5275060059410873,1.1875580172920295
2020-05-20,35.97,55.86,34.0,39.77,53949,2145551.73,0.14544930875576045,0.1357969694274499,1.1695090370966232
2020-05-21,69.61,71.82,57.04,66.41,92302,6129775.819999999,0.6698516469700777,0.5127347883330229,1.1649855627090593
2020-05-22,35.51,42.43,19.74,34.76,72443,2518118.6799999997,-0.476584851678964,-0.647380347155431,1.1497232617271047
2020-05-23,33.49,69.22,30.31,38.95,84027,3272851.6500000004,0.12054085155351002,0.1138114719195662,1.1407463777596039
2020-05-24,40.54,53.4,40.18,44.65,10138,452661.7,0.14634146341463405,0.1365755350057507,1.1442953711349861
2020-05-25,66.73,66.38,59.41,60.79,10358,629662.82,0.3614781634938411,0.30857099443812314,1.1356057623804836
2020-05-26,44.23,42.97,27.16,36.55,85250,3115887.4999999995,-0.39874979437407476,-0.5087441155648438,1.1254579212810867
2020-05-27,13.33,19.42,5.77,10.64,95376,1014800.64,-0.708891928864569,-1.234060702282289,1.6530479144831636
2020-05-28,20.52,29.62,13.76,21.58,40654,877313.32,1.028195488721804,0.70714647591649,1.7573836340486177
2020-05-29,25.82,36.85,10.74,28.02,35879,1005329.58,0.29842446709916604,0.26115158107887243,1.6976047532255534
2020-05-30,36.28,43.42,23.8,33.53,91532,3069067.96,0.19664525339043548,0.1795220195692763,1.7053888558342563
2020-05-31,41.34,50.82,34.71,40.96,65778,2694266.88,0.22159260363853273,0.20015542025311522,1.7134265423854078
2020-06-01,19.81,33.08,16.31,27.86,47772,1330927.92,-0.31982421875,-0.3854040123795927,1.7022975112230443
2020-06-02,38.16,44.85,13.4,33.0,68478,2259774.0,0.18449389806173722,0.16931559311482056,1.6519763855212417
2020-06-03,46.09,49.97,29.97,39.36,74353,2926534.08,0.19272727272727264,0.17624251071757235,0.8396905719238122
2020-06-04,29.26,38.06,27.35,25.58,36762,940371.96,-0.35010162601626016,-0.430939276033356,0.786589399612228
2020-06-05,57.93,64.82,50.14,63.39,23283,1475909.37,1.4781078967943708,0.9074953241453785,1.1805504954121344
2020-06-06,70.19,84.15,61.64,73.37,73922,5423657.140000001,0.1574380817163592,0.146209012429828,1.1789488373138468
2020-06-07,40.75,50.12,39.59,50.04,49420,2472976.8,-0.3179773749488892,-0.3826924471271925,1.2686854375166876
2020-06-08,71.65,72.8,54.77,63.67,65568,4174714.56,0.2723820943245405,0.2408908084302237,1.181861119797273
2020-06-09,42.9,57.97,38.72,44.68,95090,4248621.2,-0.2982566357782316,-0.3541875198279341,1.2681718545996836
2020-06-10,72.59,76.15,43.35,60.92,30219,1840941.48,0.3634735899731425,0.3100355538259612,1.291381649091282
2020-06-11,94.37,96.27,83.79,84.59,67169,5681825.71,0.38854235062376885,0.32825452828896207,1.1705178111466603
2020-06-12,64.16,82.06,60.23,68.68,84965,5835396.2,-0.1880836978366237,-0.20835802028664835,0.8350382265622059
2020-06-13,84.91,96.95,80.11,88.45,56840,5027498.0,0.2878567268491554,0.2529793845765194,0.8615458860623186
2020-06-14,99.53,104.66,82.94,97.2,54695,5316354.0,0.09892594686263423,0.09433329086059908,0.7170306441769456
2020-06-15,105.37,137.61,97.97,114.15,94754,10816169.1,0.1743827160493827,0.16074266150941113,0.7023141630861961
2020-06-16,150.39,166.72,143.71,152.58,87988,13425209.040000001,0.3366622864651774,0.2901756756862787,0.5005298406229708
2020-06-17,145.48,152.31,137.21,148.17,68342,10126234.139999999,-0.02890287062524588,-0.029328785441440217,0.5090463313961457
2020-06-18,142.85,134.93,122.21,133.6,28951,3867853.5999999996,-0.09833299588310718,-0.10351000211809774,0.49271271696566993
2020-06-19,117.11,123.98,101.04,116.31,11307,1315117.17,-0.12941616766467057,-0.1385912207515978,0.45065084931135957
2020-06-20,99.07,116.45,85.33,100.49,90388,9083090.12,-0.13601581979193544,-0.14620082029008025,0.4437307992917392
2020-06-21,96.29,109.69,92.14,99.45,45428,4517814.600000001,-0.010349288486416475,-0.010403214760886039,0.4350501332756949
2020-06-22,111.24,105.65,94.58,106.77,85774,9158089.98,0.07360482654600298,0.07102198289022976,0.40540303631570773
2020-06-23,110.32,121.92,100.89,112.81,48975,5524869.75,0.05657019762105464,0.055027999426617985,0.23493458878878984
2020-06-24,129.6,139.84,120.43,129.85,11140,1446529.0,0.1510504387908873,0.1406749504919285,0.2992897094923097
2020-06-25,127.41,128.53,118.74,130.61,34842,4550713.62,0.005852907200616153,0.00583584548067245,0.28272207311839953
2020-06-26,152.59,170.3,150.08,160.18,36421,5833915.78,0.22639920373631406,0.20408239930610622,0.29854440910347047
2020-06-27,150.41,160.32,144.6,155.39,11708,1819306.1199999999,-0.02990385815957064,-0.030360097096893583,0.22510581591125087
2020-06-28,207.78,211.11,207.07,210.29,13630,2866252.6999999997,0.3533045884548556,0.30254944466196987,0.3091042040787351
2020-06-29,221.99,241.33,217.89,223.3,29595,6608563.5,0.0618669456464882,0.0600286283854996,0.3107869479414153
2020-06-30,205.56,211.37,192.57,206.66,86021,17777099.86,-0.07451858486341256,-0.07744122805990344,0.36015007920389724
2020-07-01,185.3,192.41,181.8,185.74,38308,7115327.92,-0.10122907190554531,-0.10672708443834655,0.39953907277947226
2020-07-02,193.45,202.49,183.54,195.89,54789,10732617.209999999,0.05464627974588132,0.05320543084744673,0.3960657961175946
2020-07-03,198.67,201.94,182.33,191.92,65690,12607224.799999999,-0.020266476083516283,-0.020474658663869907,0.36152747902144966
2020-07-04,211.44,225.54,191.55,206.7,36086,7458976.199999999,0.07701125468945391,0.07418984815628342,0.35766782417304105
2020-07-05,215.99,220.69,203.42,216.67,26859,5819539.529999999,0.048234155781325505,0.04710699203089307,0.19272523114758577
2020-07-06,216.98,224.18,207.98,215.71,17684,3814615.64,-0.004430701066137299,-0.004440545711990137,0.18141549435835488
2020-07-07,197.42,209.88,190.39,199.28,11207,2233330.96,-0.07616707616707619,-0.07922404205270049,0.18225355164634308
2020-07-08,155.26,175.14,169.41,169.48,56099,9507658.52,-0.14953833801686078,-0.1619759451955666,0.2221659717567759
2020-07-09,161.15,169.43,151.7,161.05,77496,12480730.8,-0.04974038234599942,-0.05102004998115053,0.20999688695615362
2020-07-10,180.21,191.65,175.03,178.68,76093,13596297.24,0.10946910897236872,0.10388162070671,0.24847548410188255
2020-07-11,175.4,189.68,174.55,183.46,39689,7281343.94,0.02675173494515337,0.026400163597591602,0.23369287986550027
2020-07-12,161.54,167.35,152.23,159.04,58651,9327855.04,-0.13310803444892627,-0.14284091717324568,0.24952431953924178
2020-07-13,161.6,170.85,157.39,163.01,23893,3894797.9299999997,0.024962273641851107,0.024655805709934496,0.25652790029597605
2020-07-14,172.9,180.69,155.28,171.21,76418,13083525.780000001,0.05030366235200301,0.04907932459852807,0.2655765703119973
2020-07-15,152.78,165.25,150.42,154.04,70011,10784494.44,-0.10028619823608442,-0.10567856427001836,0.23510015399530734
2020-07-16,163.87,170.54,152.43,157.61,48635,7665362.350000001,0.023175798493897837,0.02291131824074167,0.23300359932224585
2020-07-17,160.41,178.96,152.77,159.28,66115,10530797.2,0.010595774379798195,0.010540032568491143,0.19926473053089439
2020-07-18,141.93,133.62,129.32,136.92,88405,12104412.6,-0.14038171772978414,-0.1512668460939564,0.2313461744008826
2020-07-19,150.0,153.73,138.96,144.57,82702,11956228.139999999,0.05587204206836116,0.05436700565836655,0.21428449597673058
2020-07-20,150.69,159.47,148.08,156.29,88518,13834478.219999999,0.08106799474303106,0.07794943653375115,0.23134096965057951
2020-07-21,174.75,186.52,166.94,178.45,82805,14776552.249999998,0.14178770234819882,0.1325951940820671,0.2668887576500293
2020-07-22,202.28,214.43,186.68,200.02,68954,13792179.08,0.12087419445222758,0.11410891161220069,0.24961142577299708
2020-07-23,171.14,188.96,159.86,172.97,38064,6583930.08,-0.1352364763523648,-0.145299192492538,0.31024822475830616
2020-07-24,153.52,170.94,154.26,154.71,89063,13778936.73,-0.10556743944036528,-0.11156577232485464,0.33458309626851535
2020-07-25,171.95,181.69,153.61,165.52,12454,2061386.08,0.069872664986103,0.0675396367063103,0.29106067113104367
2020-07-26,174.74,185.42,164.08,176.29,30878,5443482.62,0.06506766553890753,0.0630383328603643,0.29213561230483487
2020-07-27,182.25,204.08,180.4,187.09,61098,11430824.82,0.06126269215497193,0.0594594181996752,0.28904099235237884
2020-07-28,260.48,282.63,246.31,264.65,72154,19095556.099999998,0.41455983751135794,0.34681841380666917,0.42763298362135854
2020-07-29,287.48,287.26,261.13,276.56,22991,6358390.96,0.04500283393160798,0.044019597309372716,0.422289361897687
2020-07-30,298.88,315.66,290.69,299.78,78344,23485964.319999997,0.08396008099508223,0.08062107668908042,0.358293206911617
2020-07-31,312.53,329.56,312.34,319.36,46593,14879940.48,0.06531456401361013,0.06327012082064959,0.28527022226919385
2020-08-01,324.04,349.93,314.63,332.88,46304,15413675.52,0.042334669338677244,0.04146307155158658,0.2902575133132926
2020-08-02,323.96,336.27,317.17,327.08,40386,13209452.879999999,-0.017423696226868568,-0.017577275380909356,0.3125151239000115
2020-08-03,341.78,349.71,332.33,342.76,65220,22354807.2,0.04793934205698913,0.04682570450714156,0.3141263878353791
2020-08-04,332.55,332.2,317.44,327.8,79338,26006996.400000002,-0.04364569961489084,-0.0446268274911887,0.11886722873157021
2020-08-05,327.83,332.7,302.05,323.56,31083,10057215.48,-0.012934716290420978,-0.013019098159977437,0.12487163012952807
2020-08-06,314.33,324.78,305.44,314.36,28354,8913363.44,-0.02843367536160213,-0.028845742151777636,0.11274152491926721
2020-08-07,314.22,321.77,306.61,316.5,32190,10188135.0,0.006807481867922016,0.006784415586256589,0.09195897776209477
2020-08-08,364.99,372.04,357.44,363.29,16142,5864227.180000001,0.14783570300157978,0.13787817180304146,0.16543676045723738
2020-08-09,317.7,333.81,318.39,326.44,38398,12534643.12,-0.1014341159954858,-0.10695524878623032,0.2040292009386216
2020-08-10,350.57,345.28,335.83,340.67,61971,21111660.57,0.04359147163337829,0.042668102182439875,0.20294882745021373
2020-08-11,312.18,324.09,302.97,308.91,51862,16020690.420000002,-0.09322805060615846,-0.09786429444671284,0.22239041173671917
2020-08-12,304.31,316.03,299.02,299.98,63410,19021731.8,-0.028908096209251943,-0.029334166569555807,0.22337526185857243
2020-08-13,316.88,337.41,307.85,322.25,29503,9507341.75,0.07423828255217013,0.07161183605208335,0.2361368139554701
2020-08-14,330.45,333.62,313.26,324.04,58456,18942082.240000002,0.0055546935608998815,0.005539323142993685,0.23612014545982407
2020-08-15,300.68,312.87,291.79,302.98,92035,27884764.3,-0.06499197629922238,-0.06720016823211301,0.18287251245617442
2020-08-16,284.42,293.86,279.44,289.18,18016,5209866.88,-0.045547560895108585,-0.04661746513019731,0.16023764605175148
2020-08-17,303.07,315.34,292.91,303.27,12384,3755695.6799999997,0.04872397814509988,0.04757416623409562,0.16244018853258424
2020-08-18,288.85,300.01,271.07,289.16,72320,20912051.200000003,-0.04652619777755784,-0.04764332970197942,0.13923988902907797
2020-08-19,288.6,318.21,287.84,293.99,25072,7370917.28,0.016703555125190173,0.016565585022667216,0.1391535992694906
2020-08-20,290.93,310.84,284.01,295.4,90018,26591317.2,0.004796081499370608,0.004784616942515669,0.11051629845788308
2020-08-21,278.01,294.45,271.51,282.87,50510,14287763.700000001,-0.042417061611374374,-0.04334294195158378,0.11204454153261587
2020-08-22,321.43,336.04,310.54,326.25,58933,19226891.25,0.15335666560610872,0.1426765304912075,0.18220714058311763
2020-08-23,337.49,354.44,327.24,339.43,31826,10802699.18,0.04039846743295028,0.03960378153567114,0.17066985390849954
2020-08-24,292.48,304.85,286.98,299.43,78026,23363325.18,-0.11784462186606959,-0.12538707280596947,0.22154272351473742
